사고장소,사고 발생 횟수
서울특별시 도봉구 쌍문동 노해로41길,2
서울특별시 도봉구 쌍문동 도당로,2
서울특별시 도봉구 쌍문동 도봉로,8
서울특별시 도봉구 쌍문동 삼양로,1
서울특별시 도봉구 쌍문동 시루봉로,1
서울특별시 도봉구 쌍문동 시루봉로2길,1
서울특별시 도봉구 쌍문동 우이천로,5
서울특별시 도봉구 쌍문동 우이천로34길,1
서울특별시 도봉구 쌍문동 우이천로38길,1
서울특별시 도봉구 쌍문동 해등로,2
서울특별시 도봉구 창동 노해로,5
서울특별시 도봉구 창동 노해로63가길,2
서울특별시 도봉구 창동 노해로63길,1
서울특별시 도봉구 창동 노해로65길,1
서울특별시 도봉구 창동 노해로69길,1
서울특별시 도봉구 창동 노해로70길,3
서울특별시 도봉구 창동 덕릉로,5
서울특별시 도봉구 창동 덕릉로60길,1
서울특별시 도봉구 창동 덕릉로63가길,1
서울특별시 도봉구 창동 도봉로,6
서울특별시 도봉구 창동 도봉로104길,2
서울특별시 도봉구 창동 마들로,2
서울특별시 도봉구 창동 마들로11길,5
서울특별시 도봉구 창동 우이천로,2
서울특별시 도봉구 창동 우이천로4길,2
서울특별시 도봉구 창동 해등로,1
서울특별시 도봉구 창동 해등로16길,3
서울특별시 도봉구 창동 해등로3길,2
서울특별시 동대문구 답십리동 답십리로,4
서울특별시 동대문구 답십리동 답십리로57길,1
서울특별시 동대문구 답십리동 사가정로4길,1
서울특별시 동대문구 답십리동 전농로,8
서울특별시 동대문구 답십리동 천호대로,3
서울특별시 동대문구 답십리동 한천로,3
서울특별시 동대문구 답십리동 황물로,4
서울특별시 동대문구 신설동 난계로,4
서울특별시 동대문구 신설동 왕산로,2
서울특별시 동대문구 신설동 종로,1
서울특별시 동대문구 신설동 한빛로,1
서울특별시 동대문구 용두동 고산자로,3
서울특별시 동대문구 용두동 답십리로,1
서울특별시 동대문구 용두동 무학로,3
서울특별시 동대문구 용두동 왕산로,6
서울특별시 동대문구 용두동 왕산로26길,1
서울특별시 동대문구 용두동 천호대로,4
서울특별시 동대문구 용두동 천호대로27길,1
서울특별시 동대문구 용두동 청계천로,3
서울특별시 동대문구 이문동 외대역동로,1
