,사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
82,2019080000000000.0,2019년 8월 31일 06시,토요일,서울특별시 서초구 양재동,바우뫼로,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,69세,상해없음,자전거,남,70세,중상
83,2019020000000000.0,2019년 2월 16일 14시,토요일,서울특별시 서초구 반포동,사평대로,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,69세,상해없음,승용,여,70세,경상
84,2019110000000000.0,2019년 11월 28일 16시,목요일,서울특별시 서초구 반포동,신반포로19길,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,자전거,남,14세,상해없음,보행자,여,70세,중상
85,2019080000000000.0,2019년 8월 29일 13시,목요일,서울특별시 서초구 반포동,신반포로15길,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,포장 - 젖음/습기,맑음,교차로 - 교차로부근,자전거,남,19세,경상,승용,남,70세,상해없음
86,2019020000000000.0,2019년 2월 13일 07시,수요일,서울특별시 서초구 반포동,사평대로,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,남,50세,상해없음,화물,남,70세,경상
87,2019070000000000.0,2019년 7월 8일 22시,월요일,서울특별시 서초구 반포동,사평대로,중상사고,0,1,0,1,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,27세,중상,승용,남,70세,부상신고
88,2019050000000000.0,2019년 5월 26일 07시,일요일,서울특별시 서초구 반포동,주흥길,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,27세,경상,승용,남,70세,상해없음
89,2019070000000000.0,2019년 7월 29일 15시,월요일,서울특별시 서초구 서초동,사평대로56길,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,33세,상해없음,보행자,여,70세,경상
90,2019060000000000.0,2019년 6월 10일 02시,월요일,서울특별시 서초구 서초동,서초대로77길,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,70세,상해없음
91,2019070000000000.0,2019년 7월 26일 12시,금요일,서울특별시 서초구 서초동,서초대로64길,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,승용,남,70세,경상
92,2019010000000000.0,2019년 1월 20일 10시,일요일,서울특별시 서초구 서초동,서초대로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,74세,기타불명,승용,남,70세,중상
93,2019040000000000.0,2019년 4월 30일 18시,화요일,서울특별시 서초구 서초동,반포대로,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,57세,경상,승용,남,70세,경상
94,2019010000000000.0,2019년 1월 11일 11시,금요일,서울특별시 서초구 방배동,방배로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,여,69세,경상
95,2019030000000000.0,2019년 3월 28일 05시,목요일,서울특별시 서초구 방배동,남부순환로,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,74세,기타불명,승용,남,69세,경상
96,2019070000000000.0,2019년 7월 24일 21시,수요일,서울특별시 서초구 방배동,도구로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,보행자,남,69세,경상
97,2019010000000000.0,2019년 1월 21일 21시,월요일,서울특별시 서초구 양재동,논현로,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,47세,상해없음,보행자,남,69세,중상
